time,position_x,velocity_x,position_y,velocity_y,angular_velocity_z
1505.35,-0.6390884501794846,-0.46225043788144715,1.2086944286763688,0.0,-0.2559002321604104
1505.45,-0.5923522224723707,-0.4923999603444438,1.2222876583096962,0.0,-0.1697897090086176
1505.55,-0.5448970023499329,-0.49568589005954494,1.2353694768360208,0.0,-0.11913317474532147
1505.65,-0.5002715610565087,-0.4519468785883221,1.2461640923667079,0.0,-0.1421919774916355
1505.75,-0.45938339480990487,-0.4164495205815101,1.2547925084639016,0.0,-0.19068835565404957
1505.85,-0.4184630462064672,-0.42682723503303405,1.2627974848662578,0.0,-0.21176809012963319
1505.95,-0.37295029940790564,-0.4763658149969463,1.2716298683058656,0.0,-0.17489172677208678
1506.05,-0.32564301360460474,-0.476669174413564,1.2801593811550502,0.0,-0.142259544556816
1506.15,-0.2837619265383389,-0.4077173580075663,1.2859799588878378,0.0,-0.18651691062904233
1506.25,-0.24968810836564845,-0.32572966537137893,1.2893466331986736,0.0,-0.25169992333199376
1506.35,-0.22186588334453047,-0.2669750766557983,1.291254408721808,0.0,-0.3020769813186451
1506.45,-0.2014943426954097,-0.1853295547950096,1.291810698389371,0.0,-0.3467765873041044
1506.55,-0.1863613222248572,-0.14074684533243395,1.2916245932714159,0.0,-0.3867832082087887
1506.65,-0.17390598715890906,-0.11708277069308579,1.2910654557005676,0.0,-0.41012650544441476
1506.75,-0.1626043209375378,-0.10968442010976978,1.2901501219746558,0.0,-0.4229969347433424
1506.85,-0.1455477239432152,-0.20113271635987628,1.2883021051790615,0.0,-0.41553401756555625
1506.95,-0.11594150151926418,-0.3248540088070763,1.2840739798804306,0.0,-0.3730888619753899
1507.05,-0.07497497550451908,-0.4362027421652805,1.2772952434324687,0.0,-0.28815675064277596
1507.15,-0.029006439907030068,-0.472875263310472,1.2690162969957834,0.0,-0.20032617909521525
1507.25,0.017621842156816073,-0.4800870850839363,1.260007806262421,0.0,-0.13936385578265428
1507.35,0.06512449679346806,-0.48988312555249564,1.2505870894637237,0.0,-0.08460519374624002
1507.45,0.11346941722236571,-0.4978334991599721,1.2408685374610346,0.0,-0.03970500293784322
1507.55,0.16224783582376798,-0.5004935480078376,1.2312391008027275,0.0,0.003957909936844085
1507.65,0.2112050677239876,-0.5017890077945724,1.2216875119987236,0.0,0.032796473958172825
1507.75,0.26021028967837434,-0.5017213152383683,1.2123425221838016,0.0,0.05132956539796052
1507.85,0.30908389789804386,-0.4999007280626491,1.2033620503349165,0.0,0.06568623107005676
1507.95,0.3581266279346426,-0.5006709754376231,1.1947041725839251,0.0,0.07483465044649892
1508.05,0.4054731367667837,-0.45907952641054073,1.1864962033821602,0.0,0.06831710774887366
